SampleID,readcount
668NN,4061371
668O,1954742
668P,12581472
668Q,31683086
668R,145567418
668S,2396376
668T,30355351
668U,11354251
668V,7208627
668W,12111326
668X,7215105
668Y,28100027
668Z,17008996
FMT.0001A,26431046
FMT.0001E,17550363
FMT.0009A,22268902
FMT.0009AA,17800554
FMT.0009X,36384192
FMT.0009Y,17628818
FMT.0010A,34989795
FMT.0010S,17243724
FMT.0020A,47904880
FMT.0020G,17135117
FMT.0034A,12128981
FMT.0034I,24260367
FMT.0034J,41460488
FMT.0035A,19510939
FMT.0035K,18453568
FMT.0039A,13071155
FMT.0039E,28495532
FMT.0039F,14460221
FMT.0050A,20951172
FMT.0050L,17289354
FMT.0061A,40737909
FMT.0061Z,25540840
FMT.0063A,27976136
FMT.0063OO,5306231
FMT.0064A,18554340
FMT.0064B,22891977
FMT.0064C,33477676
FMT.0064D,24738708
FMT.0064F,21867264
FMT.0064G,18470887
FMT.0064M,5875478
FMT.0064X,17546988
FMT.0066B,10390237
FMT.0066D,23222027
FMT.0066E,25530221
FMT.0066I,28788301
FMT.0066J,16788410
FMT.0066M,5134072
FMT.0066N,16664599
FMT.0066O,28386445
FMT.0066P,13840316
FMT.0066Q,19073403
FMT.0066R,565674
FMT.0066S,9059543
FMT.0066T,9023074
FMT.0066U,30407277
FMT.0066V,85710568
FMT.0066W,6566046
FMT.0066X,20068427
FMT.0069C,27145186
FMT.0069D,20374862
FMT.0069E,18478109
FMT.0069F,21343539
FMT.0069G,22816743
FMT.0069H,20534734
FMT.0069I,23054830
FMT.0069J,19130682
FMT.0069O,30081443
FMT.0069P,19609049
FMT.0069Q,19526570
FMT.0069R,18129963
FMT.0069S,19824384
FMT.0077B,19416104
FMT.0080A,41633863
FMT.0091E,15890717
FMT.0092A,36510750
FMT.0092D,20902233
FMT.0092E,60431111
FMT.0092EE,8086960
FMT.0092FF,88952090
FMT.0092G,4719038
FMT.0092HH,47219512
FMT.0092I,4076309
FMT.0092II,16570879
FMT.0092J,3833916
FMT.0092JJ,17413330
FMT.0092L,10071007
FMT.0092LL,39615119
FMT.0092M,31392343
FMT.0092MM,46284011
FMT.0092N,47547729
FMT.0092OO,27313774
FMT.0092P,41119756
FMT.0092Q,26999468
FMT.0092T,15138462
FMT.0092U,15297853
FMT.0092V,22017902
FMT.0092W,21951708
FMT.0092X,6323132
FMT.0092Y,24488329
FMT.0092Z,15865257
FMT.0093A,102245431
FMT.0093Z,13292131
FMT.0094A,21381891
FMT.0094D,29879396
FMT.0094E,19432733
FMT.0094R,31560721
FMT.0094U,19071496
FMT.0097A,9962590
FMT.0097B,6469717
FMT.0097C,23747012
FMT.0097D,56336394
FMT.0097E,50554881
FMT.0097G,80029574
FMT.0097H,16984004
FMT.0097I,5711184
FMT.0097J,10391349
FMT.0097K,46243831
FMT.0097M,13935830
FMT.0097N,839990
FMT.0099A,22398640
FMT.0099O,28010884
FMT.0103A,20102996
FMT.0103Y,30248981
FMT.0106A,29962948
FMT.0106S,36088801
FMT.0107A,19055760
FMT.0111B,17480533
FMT.0111C,21026294
FMT.0111D,18895112
FMT.0111E,31040535
FMT.0111F,32750149
FMT.0111G,16338226
FMT.0113B,14022312
FMT.0114A,23961862
FMT.0114B,12890965
FMT.0114C,99587005
FMT.0114D,59592197
FMT.0114E,9753586
FMT.0114G,1473281
FMT.0114H,5608426
FMT.0114I,57665054
FMT.0114J,27699200
FMT.0114K,964906
FMT.0114P,8086925
FMT.0120A,13304687
FMT.0120O,17820699
FMT.0136B,26009307
FMT.0136G,29235996
FMT.0166A,11612736
FMT.0166E,9103335
FMT.0187A,9315842
FMT.0187B,27521079
FMT.0187C,19788510
FMT.0187E,1872569
FMT.0187M,38734941
FMT.0187O,27158123
FMT.0187P,30671520
FMT.0187Q,20472211
